N,bin_i,bin_j,c2_mean,c2_err,n_pairs_mean,n_valid_events,c2_approx,c2_exact,mean_p1_sq,mean_p2_sq,bin_i_mean_count,bin_j_mean_count,sqrt_c2,bin_pair
20,low,low,0.00031645616481462945,0.0010290143393251476,26.975213555524437,78551,0.00027750793965281863,0.00027886969576606683,0.1590217312220663,0.1590217312220663,5.2770625,5.2770625,0.017789214845367107,low_low
20,low,mid,0.001269614636073721,0.0006027593853134319,23.53444303144005,79421,0.0007063797968022536,0.0007108313225816065,0.1590217312220663,0.4047802680107745,5.2770625,4.6643375,0.035631652165928555,low_mid
20,low,high,0.002245736034214489,0.0008014803556667638,15.681203640380872,76036,0.0021228710231618753,0.002303893431213338,0.1590217312220663,1.2164791597916065,5.2770625,2.9877875,0.047389197442186004,low_high
20,mid,low,0.001269614636073721,0.0006027593853134319,23.53444303144005,79421,0.0007063797968022536,0.0007108313225816066,0.4047802680107745,0.1590217312220663,4.6643375,5.2770625,0.035631652165928555,mid_low
20,mid,mid,0.0009580843298823114,0.0011869685755029986,21.43970565372856,77188,0.0017980473566076756,0.0018103853642390424,0.4047802680107745,0.4047802680107745,4.6643375,4.6643375,0.03095293733851945,mid_mid
20,mid,high,0.008697559349238135,0.000869135180590471,14.011184089050671,75822,0.005403640716926949,0.0058547895677752565,0.4047802680107745,1.2164791597916065,4.6643375,2.9877875,0.09326070635180786,mid_high
20,high,low,0.002245736034214489,0.0008014803556667638,15.681203640380872,76036,0.0021228710231618753,0.0023038934312133385,1.2164791597916065,0.1590217312220663,2.9877875,5.2770625,0.047389197442186004,high_low
20,high,mid,0.008697559349238135,0.000869135180590471,14.011184089050671,75822,0.005403640716926949,0.0058547895677752565,1.2164791597916065,0.4047802680107745,2.9877875,4.6643375,0.09326070635180786,high_mid
20,high,high,0.035048571959084944,0.0018343387829208252,10.670349964603405,64978,0.016239468271136273,0.018871488158586733,1.2164791597916065,1.2164791597916065,2.9877875,2.9877875,0.18721263835298338,high_high
30,low,low,-0.00014817471315752324,0.0006129971400742031,59.62022179387689,79894,0.00011483760737637074,0.00011527016028341207,0.15912791215399563,0.15912791215399563,7.8509375,7.8509375,0.0121727036092038,low_low
30,low,mid,0.0007870829710566183,0.00037447810526508596,53.30348700502789,79954,0.0002926228299279063,0.00029391219554887333,0.15912791215399563,0.4054809311936491,7.8509375,7.0168125,0.028054999038613748,low_mid
30,low,high,0.000590538649585299,0.0004901461267886952,35.82254287225202,79422,0.0009049522565526967,0.0009533885627382167,0.15912791215399563,1.2539721653405682,7.8509375,4.69445,0.02430100099965635,low_high
30,mid,low,0.0007870829710566183,0.00037447810526508596,53.30348700502789,79954,0.0002926228299279063,0.00029391219554887333,0.4054809311936491,0.15912791215399563,7.0168125,7.8509375,0.028054999038613748,mid_low
30,mid,mid,0.00010914864629777949,0.0007223639203779653,47.77449947312961,79716,0.0007456452859939627,0.000749150419083267,0.4054809311936491,0.4054809311936491,7.0168125,7.0168125,0.010447422950076229,mid_mid
30,mid,high,0.0036126774047491083,0.0005254388757606906,32.11557839580814,79392,0.0023059492122141046,0.0024278664877556617,0.4054809311936491,1.2539721653405682,7.0168125,4.69445,0.06010555219569244,mid_high
30,high,low,0.000590538649585299,0.0004901461267886952,35.82254287225202,79422,0.0009049522565526967,0.0009533885627382165,1.2539721653405682,0.15912791215399563,4.69445,7.8509375,0.02430100099965635,high_low
30,high,mid,0.0036126774047491083,0.0005254388757606906,32.11557839580814,79392,0.0023059492122141046,0.002427866487755662,1.2539721653405682,0.4054809311936491,4.69445,7.0168125,0.06010555219569244,high_mid
30,high,high,0.011566656052986318,0.0012268974177961263,22.482956105597616,76479,0.007131275244666274,0.007857041319596513,1.2539721653405682,1.2539721653405682,4.69445,4.69445,0.107548389355612,high_high
40,low,low,0.00047766437509589514,0.00042067712998315905,105.96507194379508,79993,6.24671675109306e-05,6.258837244519959e-05,0.15927799096352482,0.15927799096352482,10.4189625,10.4189625,0.02185553419836484,low_low
40,low,mid,-0.00015773739747062144,0.00027457773855544485,95.34077101927548,79998,0.00015910578981646948,0.000159601880473646,0.15927799096352482,0.4056859237006018,10.4189625,9.3874375,0.01255935497828696,low_mid
40,low,high,0.0007013441866383238,0.00034928081991128014,65.00876117049238,79898,0.000498122294166824,0.0005178515526687671,0.15927799096352482,1.27010590411596,10.4189625,6.401725,0.02648290366705139,low_high
40,mid,low,-0.00015773739747062144,0.00027457773855544485,95.34077101927548,79998,0.00015910578981646948,0.00015960188047364594,0.4056859237006018,0.15927799096352482,9.3874375,10.4189625,0.01255935497828696,mid_low
40,mid,mid,0.0001189791636819078,0.0004881245902726456,85.9683655096529,79976,0.00040524732210233424,0.00040691271405819516,0.4056859237006018,0.4056859237006018,9.3874375,9.3874375,0.0109077570417528,mid_mid
40,mid,high,0.0016308113292995625,0.00036895289226727507,58.69515369980975,79896,0.0012687327470824775,0.0013196323186315312,0.4056859237006018,1.27010590411596,9.3874375,6.401725,0.040383305081426436,mid_high
40,high,low,0.0007013441866383238,0.00034928081991128014,65.00876117049238,79898,0.000498122294166824,0.0005178515526687674,1.27010590411596,0.15927799096352482,6.401725,10.4189625,0.02648290366705139,high_low
40,high,mid,0.0016308113292995625,0.00036895289226727507,58.69515369980975,79896,0.0012687327470824775,0.0013196323186315312,1.27010590411596,0.4056859237006018,6.401725,9.3874375,0.040383305081426436,high_mid
40,high,high,0.0055423601950676344,0.0008492366639294562,40.51559660811629,79248,0.003972099741878042,0.004276249020971633,1.27010590411596,1.27010590411596,6.401725,6.401725,0.07444702945764615,high_high
