N,bin_i,bin_j,bin_i_idx,bin_j_idx,c2_mean,c2_std,c2_exact,mean_p1,mean_p1_sq,mean_p1_cu,mean_p1_qu,mean_n1,mean_p2,mean_p2_sq,mean_p2_cu,mean_p2_qu,mean_n2,mean_p1_p2,p1_sq_p2_sq,mean_p2_F,inv_N,mean_n_accepted,n_valid_events
26,high,mid,2,1,0.0051985070516154,0.0006306108595687,0.0033017195847529,1.0824654136960128,1.243551807808797,1.536186402845009,2.0686727502380013,4.0079625,0.6308878984106535,0.4052504311747302,0.2649542563663901,0.1761984413533603,6.082425,0.6829143299488961,0.5039499063026303,0.375,0.0384615384615384,16.9181625,78684
26,high,high,2,2,0.0181592957133437,0.0014289779202302,0.010673944027245,1.0824654136960128,1.243551807808797,1.536186402845009,2.0686727502380013,4.0079625,1.0824654136960128,1.243551807808797,1.536186402845009,2.0686727502380013,4.0079625,1.1717313718480802,1.5464210987045273,0.375,0.0384615384615384,16.9181625,73489
28,low,low,0,0,0.0007108703003852,0.0006792620644203,0.0001336831021373,0.3948684885808715,0.159210656726439,0.0654851768845029,0.0274402504509248,7.337775,0.3948684885808715,0.159210656726439,0.0654851768845029,0.0274402504509248,7.337775,0.1559211232741418,0.025348033215264,0.375,0.0357142857142857,18.2495125,79833
28,low,mid,0,1,-0.0001875062604723,0.0004056673807482,0.0003408489611927,0.3948684885808715,0.159210656726439,0.0654851768845029,0.0274402504509248,7.337775,0.6307845213246688,0.4051123191346332,0.2648168400523143,0.1760777576355352,6.554975,0.2490769305556805,0.0644981983773957,0.375,0.0357142857142857,18.2495125,79935
28,low,high,0,2,0.0013543194926163,0.0005359733921173,0.0011055392009902,0.3948684885808715,0.159210656726439,0.0654851768845029,0.0274402504509248,7.337775,1.0843598823700882,1.2488143986077174,1.5474675518606569,2.0893959083409537,4.3567625,0.4281795478292083,0.1988245605317677,0.375,0.0357142857142857,18.2495125,79120
28,mid,low,1,0,-0.0001875062604723,0.0004056673807482,0.0003408489611927,0.6307845213246688,0.4051123191346332,0.2648168400523143,0.1760777576355352,6.554975,0.3948684885808715,0.159210656726439,0.0654851768845029,0.0274402504509248,7.337775,0.2490769305556805,0.0644981983773957,0.375,0.0357142857142857,18.2495125,79935
28,mid,mid,1,1,0.0006201204392587,0.0007931848101201,0.0008687089972594,0.6307845213246688,0.4051123191346332,0.2648168400523143,0.1760777576355352,6.554975,0.6307845213246688,0.4051123191346332,0.2648168400523143,0.1760777576355352,6.554975,0.3978891123427915,0.1641159911146409,0.375,0.0357142857142857,18.2495125,79567
28,mid,high,1,2,0.0037851957640318,0.0005765089669813,0.0028146655372548,0.6307845213246688,0.4051123191346332,0.2648168400523143,0.1760777576355352,6.554975,1.0843598823700882,1.2488143986077174,1.5474675518606569,2.0893959083409537,4.3567625,0.6839974293444903,0.5059100971886946,0.375,0.0357142857142857,18.2495125,79087
28,high,low,2,0,0.0013543194926163,0.0005359733921173,0.0011055392009902,1.0843598823700882,1.2488143986077174,1.5474675518606569,2.0893959083409537,4.3567625,0.3948684885808715,0.159210656726439,0.0654851768845029,0.0274402504509248,7.337775,0.4281795478292083,0.1988245605317677,0.375,0.0357142857142857,18.2495125,79120
28,high,mid,2,1,0.0037851957640318,0.0005765089669813,0.0028146655372548,1.0843598823700882,1.2488143986077174,1.5474675518606569,2.0893959083409537,4.3567625,0.6307845213246688,0.4051123191346332,0.2648168400523143,0.1760777576355352,6.554975,0.6839974293444903,0.5059100971886946,0.375,0.0357142857142857,18.2495125,79087
28,high,high,2,2,0.0145794332174121,0.0013173259948649,0.0091046146782496,1.0843598823700882,1.2488143986077174,1.5474675518606569,2.0893959083409537,4.3567625,1.0843598823700882,1.2488143986077174,1.5474675518606569,2.0893959083409537,4.3567625,1.1758363544936714,1.5595374021699548,0.375,0.0357142857142857,18.2495125,75125
30,low,low,0,0,0.0018358026102938,0.0006183885159986,0.0001152701602834,0.3949425713990571,0.1592715329490095,0.0655237578385404,0.0274624924727366,7.8583625,0.3949425713990571,0.1592715329490095,0.0655237578385404,0.0274624924727366,7.8583625,0.1559796347032993,0.0253674212079274,0.375,0.0333333333333333,19.5746375,79880
30,low,mid,0,1,0.0006475770996413,0.0003777286426402,0.0002939121955488,0.3949425713990571,0.1592715329490095,0.0655237578385404,0.0274624924727366,7.8583625,0.630849584427529,0.4051799639171123,0.2648658229153685,0.1761046171415395,7.0183,0.2491493570398348,0.0645336339733028,0.375,0.0333333333333333,19.5746375,79955
30,low,high,0,2,0.0009867546578546,0.0004931814791466,0.0009533885627382,0.3949425713990571,0.1592715329490095,0.0655237578385404,0.0274624924727366,7.8583625,1.0856939815468427,1.2527064775778156,1.5563915338194676,2.108441539627536,4.697975,0.4287867728245905,0.1995204810189727,0.375,0.0333333333333333,19.5746375,79458
30,mid,low,1,0,0.0006475770996413,0.0003777286426402,0.0002939121955488,0.630849584427529,0.4051799639171123,0.2648658229153685,0.1761046171415395,7.0183,0.3949425713990571,0.1592715329490095,0.0655237578385404,0.0274624924727366,7.8583625,0.2491493570398348,0.0645336339733028,0.375,0.0333333333333333,19.5746375,79955
30,mid,mid,1,1,0.0014148873431755,0.0007262656208502,0.0007491504190832,0.630849584427529,0.4051799639171123,0.2648658229153685,0.1761046171415395,7.0183,0.630849584427529,0.4051799639171123,0.2648658229153685,0.1761046171415395,7.0183,0.3979711981723861,0.1641708031598724,0.375,0.0333333333333333,19.5746375,79705
30,mid,high,1,2,0.0035105950339162,0.0005272883651087,0.0024278664877556,0.630849584427529,0.4051799639171123,0.2648658229153685,0.1761046171415395,7.0183,1.0856939815468427,1.2527064775778156,1.5563915338194676,2.108441539627536,4.697975,0.6849095970742951,0.5075715653837122,0.375,0.0333333333333333,19.5746375,79432
30,high,low,2,0,0.0009867546578546,0.0004931814791466,0.0009533885627382,1.0856939815468427,1.2527064775778156,1.5563915338194676,2.108441539627536,4.697975,0.3949425713990571,0.1592715329490095,0.0655237578385404,0.0274624924727366,7.8583625,0.4287867728245905,0.1995204810189727,0.375,0.0333333333333333,19.5746375,79458
30,high,mid,2,1,0.0035105950339162,0.0005272883651087,0.0024278664877556,1.0856939815468427,1.2527064775778156,1.5563915338194676,2.108441539627536,4.697975,0.630849584427529,0.4051799639171123,0.2648658229153685,0.1761046171415395,7.0183,0.6849095970742951,0.5075715653837122,0.375,0.0333333333333333,19.5746375,79432
