T,N,bin_i,bin_j,bin_i_idx,bin_j_idx,c2_mean,c2_std,c2_exact,mean_p1,mean_p1_sq,mean_p1_cu,mean_p1_qu,mean_n1,mean_p2,mean_p2_sq,mean_p2_cu,mean_p2_qu,mean_n2,mean_p1_p2,p1_sq_p2_sq,mean_p2_F,inv_N,mean_n_accepted,n_valid_events
0.15,5,low,mid,0,1,0.31906643180700406,0.006429394667492077,0.14637953130024545,0.3794882823197305,0.1470607923045369,0.058195932660180374,0.02350532215433577,1.0990625,0.594346825730013,0.3588816274393078,0.22034815379414716,0.13764876042367793,0.32609375,0.2255476559984668,0.052777416474766234,0.135,0.2,1.453828125,7518
0.15,5,low,high,0,2,0.30257632173161997,0.021711439163387716,0.3001984274341596,0.3794882823197305,0.1470607923045369,0.058195932660180374,0.02350532215433577,1.0990625,0.9116304947928611,0.8433561306508508,0.7939372025158643,0.7631513380684388,0.028671875,0.34595309057922885,0.12402462076840265,0.135,0.2,1.453828125,723
0.15,5,mid,low,1,0,0.31906643180700406,0.006429394667492077,0.14637953130024547,0.594346825730013,0.3588816274393078,0.22034815379414716,0.13764876042367793,0.32609375,0.3794882823197305,0.1470607923045369,0.058195932660180374,0.02350532215433577,1.0990625,0.2255476559984668,0.052777416474766234,0.135,0.2,1.453828125,7518
0.15,5,mid,mid,1,1,0.44899217855730533,0.01140009704349416,0.2897848273129833,0.594346825730013,0.3588816274393078,0.22034815379414716,0.13764876042367793,0.32609375,0.594346825730013,0.3588816274393078,0.22034815379414716,0.13764876042367793,0.32609375,0.3532481492553424,0.12879602251348612,0.135,0.2,1.453828125,2442
0.15,5,mid,high,1,2,0.5831835603887956,0.01777990717582834,0.5067298890293193,0.594346825730013,0.3588816274393078,0.22034815379414716,0.13764876042367793,0.32609375,0.9116304947928611,0.8433561306508508,0.7939372025158643,0.7631513380684388,0.028671875,0.5418246908188181,0.30266502067889484,0.135,0.2,1.453828125,674
0.15,5,high,low,2,0,0.30257632173161997,0.021711439163387716,0.30019842743415964,0.9116304947928611,0.8433561306508508,0.7939372025158643,0.7631513380684388,0.028671875,0.3794882823197305,0.1470607923045369,0.058195932660180374,0.02350532215433577,1.0990625,0.34595309057922885,0.12402462076840265,0.135,0.2,1.453828125,723
0.15,5,high,mid,2,1,0.5831835603887956,0.01777990717582834,0.5067298890293193,0.9116304947928611,0.8433561306508508,0.7939372025158643,0.7631513380684388,0.028671875,0.594346825730013,0.3588816274393078,0.22034815379414716,0.13764876042367793,0.32609375,0.5418246908188181,0.30266502067889484,0.135,0.2,1.453828125,674
0.15,5,high,high,2,2,0.6727486078145234,0.04260451364761737,0.9511407951133914,0.9116304947928611,0.8433561306508508,0.7939372025158643,0.7631513380684388,0.028671875,0.9116304947928611,0.8433561306508508,0.7939372025158643,0.7631513380684388,0.028671875,0.8310701590362767,0.7112495631063749,0.135,0.2,1.453828125,94
0.15,6,low,low,0,0,0.11173212218416007,0.004809091308492969,0.03807079583300277,0.380803531327327,0.14809111297167338,0.05880787079702491,0.023831815772538654,1.375703125,0.380803531327327,0.14809111297167338,0.05880787079702491,0.023831815772538654,1.375703125,0.14501132947136253,0.021930977741188927,0.135,0.16666666666666666,1.8775,16240
0.15,6,low,mid,0,1,0.2041186951575728,0.005309573075512189,0.0892602808243556,0.380803531327327,0.14809111297167338,0.05880787079702491,0.023831815772538654,1.375703125,0.5972241784064377,0.36242396821100964,0.22364333435011657,0.14039385150317907,0.4560677083333333,0.22742507613123306,0.05367176881997879,0.135,0.16666666666666666,1.8775,10822
0.15,6,low,high,0,2,0.20401421287026342,0.015784995020020644,0.19781026306453292,0.380803531327327,0.14809111297167338,0.05880787079702491,0.023831815772538654,1.375703125,0.9091115886317426,0.8384754923570096,0.7869346463425675,0.7544794461223449,0.04572916666666667,0.3461929033215638,0.12417076886262136,0.135,0.16666666666666666,1.8775,1279
0.15,6,mid,low,1,0,0.2041186951575728,0.005309573075512189,0.08926028082435558,0.5972241784064377,0.36242396821100964,0.22364333435011657,0.14039385150317907,0.4560677083333333,0.380803531327327,0.14809111297167338,0.05880787079702491,0.023831815772538654,1.375703125,0.22742507613123306,0.05367176881997879,0.135,0.16666666666666666,1.8775,10822
0.15,6,mid,mid,1,1,0.32629221643928613,0.010178546378468467,0.1923219766960754,0.5972241784064377,0.36242396821100964,0.22364333435011657,0.14039385150317907,0.4560677083333333,0.5972241784064377,0.36242396821100964,0.22364333435011657,0.14039385150317907,0.4560677083333333,0.3566767192732445,0.13135113273381493,0.135,0.16666666666666666,1.8775,3653
0.15,6,mid,high,1,2,0.4219304863991448,0.017311483120288983,0.3722029666120179,0.5972241784064377,0.36242396821100964,0.22364333435011657,0.14039385150317907,0.4560677083333333,0.9091115886317426,0.8384754923570096,0.7869346463425675,0.7544794461223449,0.04572916666666667,0.5429434216003638,0.3038836151877075,0.135,0.16666666666666666,1.8775,1011
0.15,6,high,low,2,0,0.20401421287026342,0.015784995020020644,0.19781026306453284,0.9091115886317426,0.8384754923570096,0.7869346463425675,0.7544794461223449,0.04572916666666667,0.380803531327327,0.14809111297167338,0.05880787079702491,0.023831815772538654,1.375703125,0.3461929033215638,0.12417076886262136,0.135,0.16666666666666666,1.8775,1279
0.15,6,high,mid,2,1,0.4219304863991448,0.017311483120288983,0.3722029666120179,0.9091115886317426,0.8384754923570096,0.7869346463425675,0.7544794461223449,0.04572916666666667,0.5972241784064377,0.36242396821100964,0.22364333435011657,0.14039385150317907,0.4560677083333333,0.5429434216003638,0.3038836151877075,0.135,0.16666666666666666,1.8775,1011
