N,bin_i,bin_j,bin_i_idx,bin_j_idx,c2_mean,c2_std,c2_exact,mean_p1,mean_p1_sq,mean_p1_cu,mean_p1_qu,mean_n1,mean_p2,mean_p2_sq,mean_p2_cu,mean_p2_qu,mean_n2,mean_p1_p2,p1_sq_p2_sq,mean_p2_F,inv_N,mean_n_accepted,n_valid_events
50,low,low,0,0,0.0002732640047186069,0.00032247081687233984,3.92275102303978e-05,0.3948631720158139,0.15920461659056503,0.0654805082250777,0.027437183915842114,12.9882125,0.3948631720158139,0.15920461659056503,0.0654805082250777,0.027437183915842114,12.9882125,0.15591692461439022,0.025346109943748814,0.375,0.02,32.833125,80000
50,low,mid,0,1,0.00015568053835326396,0.0002150529270297883,0.00010003556774034519,0.3948631720158139,0.15920461659056503,0.0654805082250777,0.027437183915842114,12.9882125,0.6314710729451762,0.40598301479734317,0.26565306966114405,0.17679830863810658,11.7172875,0.2493446708993617,0.0646343702130927,0.375,0.02,32.833125,80000
50,low,high,0,2,9.776641531117483e-05,0.00026901197284330064,0.00032461808768896117,0.3948631720158139,0.15920461659056503,0.0654805082250777,0.027437183915842114,12.9882125,1.0955309431164846,1.2801181440873957,1.6185088317883645,2.245021049632732,8.127625,0.4325848232404513,0.20380071832005953,0.375,0.02,32.833125,79987
50,mid,low,1,0,0.00015568053835326396,0.0002150529270297883,0.00010003556774034517,0.6314710729451762,0.40598301479734317,0.26565306966114405,0.17679830863810658,11.7172875,0.3948631720158139,0.15920461659056503,0.0654805082250777,0.027437183915842114,12.9882125,0.2493446708993617,0.0646343702130927,0.375,0.02,32.833125,80000
50,mid,mid,1,1,-0.0006673798551619166,0.00036119519820698324,0.0002550746540733262,0.6314710729451762,0.40598301479734317,0.26565306966114405,0.17679830863810658,11.7172875,0.6314710729451762,0.40598301479734317,0.26565306966114405,0.17679830863810658,11.7172875,0.3987557159665321,0.16482220830393976,0.375,0.02,32.833125,79997
50,mid,high,1,2,0.0010507251270916857,0.0002819952342559972,0.0008274664193554067,0.6314710729451762,0.40598301479734317,0.26565306966114405,0.17679830863810658,11.7172875,1.0955309431164846,1.2801181440873957,1.6185088317883645,2.245021049632732,8.127625,0.6917961000944074,0.5197062234333806,0.375,0.02,32.833125,79987
50,high,low,2,0,9.776641531117483e-05,0.00026901197284330064,0.0003246180876889612,1.0955309431164846,1.2801181440873957,1.6185088317883645,2.245021049632732,8.127625,0.3948631720158139,0.15920461659056503,0.0654805082250777,0.027437183915842114,12.9882125,0.4325848232404513,0.20380071832005953,0.375,0.02,32.833125,79987
50,high,mid,2,1,0.0010507251270916857,0.0002819952342559972,0.0008274664193554071,1.0955309431164846,1.2801181440873957,1.6185088317883645,2.245021049632732,8.127625,0.6314710729451762,0.40598301479734317,0.26565306966114405,0.17679830863810658,11.7172875,0.6917961000944074,0.5197062234333806,0.375,0.02,32.833125,79987
50,high,high,2,2,0.00363968209320574,0.0006234501198279249,0.0026829845630656915,1.0955309431164846,1.2801181440873957,1.6185088317883645,2.245021049632732,8.127625,1.0955309431164846,1.2801181440873957,1.6185088317883645,2.245021049632732,8.127625,1.200188047325694,1.6387024628217584,0.375,0.02,32.833125,79878
51,low,low,0,0,-5.5543084278689225e-05,0.00030977288696034045,3.764279806959124e-05,0.3950590530306229,0.15935982899702966,0.06557404669411791,0.027487979128270716,13.2416375,0.3950590530306229,0.15935982899702966,0.06557404669411791,0.027487979128270716,13.2416375,0.1560716553814525,0.025395555097962538,0.375,0.0196078431372549,33.502775,79999
51,low,mid,0,1,5.6011922756506625e-05,0.00021047788498745318,9.599462307167205e-05,0.3950590530306229,0.15935982899702966,0.06557404669411791,0.027487979128270716,13.2416375,0.6312296544475701,0.405696214505228,0.2653966929948661,0.17659416226009583,11.970225,0.24937298953090434,0.0646516793682954,0.375,0.0196078431372549,33.502775,80000
51,low,high,0,2,0.000966837088609977,0.00026236778273207653,0.0003115075959990117,0.3950590530306229,0.15935982899702966,0.06557404669411791,0.027487979128270716,13.2416375,1.0961725362102892,1.281512669410093,1.620682460939139,2.2478552619462553,8.2909125,0.43305288411341303,0.20422163985471942,0.375,0.0196078431372549,33.502775,79988
51,mid,low,1,0,5.6011922756506625e-05,0.00021047788498745318,9.599462307167203e-05,0.6312296544475701,0.405696214505228,0.2653966929948661,0.17659416226009583,11.970225,0.3950590530306229,0.15935982899702966,0.06557404669411791,0.027487979128270716,13.2416375,0.24937298953090434,0.0646516793682954,0.375,0.0196078431372549,33.502775,80000
51,mid,mid,1,1,0.0003411211726880609,0.00035261330064289404,0.0002447727901936228,0.6312296544475701,0.405696214505228,0.2653966929948661,0.17659416226009583,11.970225,0.6312296544475701,0.405696214505228,0.2653966929948661,0.17659416226009583,11.970225,0.3984508766539987,0.16458941846387198,0.375,0.0196078431372549,33.502775,79998
51,mid,high,1,2,0.001018411847951047,0.0002795692455902794,0.0007940633047539543,0.6312296544475701,0.405696214505228,0.2653966929948661,0.17659416226009583,11.970225,1.0961725362102892,1.281512669410093,1.620682460939139,2.2478552619462553,8.2909125,0.6919366112469374,0.5199048388201645,0.375,0.0196078431372549,33.502775,79988
51,high,low,2,0,0.000966837088609977,0.00026236778273207653,0.0003115075959990117,1.0961725362102892,1.281512669410093,1.620682460939139,2.2478552619462553,8.2909125,0.3950590530306229,0.15935982899702966,0.06557404669411791,0.027487979128270716,13.2416375,0.43305288411341303,0.20422163985471942,0.375,0.0196078431372549,33.502775,79988
