N,c2_mean,c2_std,c2_exact,mean_p,mean_p_sq,mean_p2_F,inv_N,mean_n_accepted,acceptance_fraction
50,0.00038125249009661124,0.00011268046322669936,0.00046179978559342477,0.6528764451368351,0.5251601744942757,0.375,0.02,32.833125,0.6566625
51,0.0005347692422913809,0.00011098596082127494,0.00044312886168943865,0.6530120329449383,0.5253575948155649,0.375,0.0196078431372549,33.502775,0.6569171568627451
52,0.0003872071615218041,0.00010808170306931073,0.00042556805368954107,0.6532763954840685,0.5258014337253432,0.375,0.019230769230769232,34.1620625,0.6569627403846153
53,0.00036134682577822035,0.00010573131869604676,0.0004090310489066085,0.6533177897844347,0.5259118672618212,0.375,0.018867924528301886,34.83795,0.6573198113207547
54,0.0003314795034227265,0.00010375940776253344,0.0003934397649549713,0.6536995560575419,0.5267276118975379,0.375,0.018518518518518517,35.497275,0.6573569444444445
55,0.00037604475222301144,0.00010167620563808916,0.00037872342544232056,0.6538632512203634,0.5271362743046231,0.375,0.01818181818181818,36.1473,0.6572236363636363
56,0.0005286466648330951,0.00010157942697676879,0.0003648177545642783,0.6540525413991755,0.5274049498441858,0.375,0.017857142857142856,36.7935125,0.6570270089285714
57,0.00046188349294701877,9.8445662011929e-05,0.0003516642734332792,0.6542243375741364,0.5278354009829563,0.375,0.017543859649122806,37.465925,0.6572969298245613
58,0.00023149568583045088,9.62257074849123e-05,0.0003392096837132686,0.6544268453429252,0.5281992576568127,0.375,0.017241379310344827,38.1329875,0.6574653017241379
59,0.00019125978283466053,9.414542618710819e-05,0.00032740532639411325,0.654318506824713,0.5280113498506831,0.375,0.01694915254237288,38.7984125,0.6576002118644068
60,0.00028256359307891345,9.369823592941852e-05,0.00031620670541455405,0.6545915265091686,0.5286753227682793,0.375,0.016666666666666666,39.449875,0.6574979166666667
61,0.00028785231400493903,9.208200735174507e-05,0.0003055730674017485,0.655091444722822,0.5294436217987744,0.375,0.01639344262295082,40.0977625,0.6573403688524591
62,0.00034710141588297194,9.026444133557835e-05,0.00029546703009650303,0.6547615640956163,0.528917409117843,0.375,0.016129032258064516,40.796925,0.6580149193548387
63,0.00011725085852965838,8.773092991673676e-05,0.0002858542531224153,0.6550779796321102,0.5295241215240702,0.375,0.015873015873015872,41.442,0.6578095238095238
64,0.00023828767886444706,8.677279610389386e-05,0.0002767031456717324,0.655314040738617,0.5298037448072801,0.375,0.015625,42.1192,0.6581125
65,0.0001942882898298419,8.52988215923032e-05,0.00026798460645104013,0.6552599318938077,0.529963778760043,0.375,0.015384615384615385,42.7899125,0.6583063461538462
66,0.0002009682888031127,8.385074210310243e-05,0.00025967179188060953,0.6553637791323911,0.5300762024913558,0.375,0.015151515151515152,43.4446,0.6582515151515151
67,0.0001976625695423818,8.238098475358545e-05,0.0002517399090924315,0.6557549313035622,0.5307639246083418,0.375,0.014925373134328358,44.102025,0.6582391791044776
68,0.0004145020779272212,8.217497524352683e-05,0.0002441660307401731,0.6557036129669301,0.5306963616031313,0.375,0.014705882352941176,44.7756125,0.6584648897058824
69,0.00018008980140485004,8.04449771004838e-05,0.00023692892903302913,0.6556225535101714,0.5306797926373927,0.375,0.014492753623188406,45.4349875,0.6584780797101449
70,0.00015593363930574048,7.903448354499785e-05,0.0002300089267458918,0.6559096525251518,0.5311739413136783,0.375,0.014285714285714285,46.0881,0.6584014285714286
71,0.00030593748529044037,7.835561248497256e-05,0.0002233877632496593,0.655829325345364,0.531150220480019,0.375,0.014084507042253521,46.740825,0.6583214788732394
